Best Classical Performance - Choral (Other Than Opera),b'Britten: War Requiem',"b'Lord Benjamin Britten, conductor; David Willcocks & Edward Chapman, choral directors (Pears, Vishnevskaya, Fischer-Dieskau)'"
Best Classical Performance - Vocal Soloist (With Or Without Orchestra),b"Great Scenes From Gershwin's Porgy And Bess","b'Leontyne Price, soprano'"
Best Classical Composition By A Contemporary Composer,b'Britten: War Requiem',"b'Lord Benjamin Britten, conductor'"
Best Engineered Recording - Classical,b'Puccini: Madama Butterfly',"b'Erich Leinsdorf, conductor'"
Best Album Cover - Classical,b'Puccini: Madama Butterfly',"b'Erich Leinsdorf, conductor'"
Best Album Cover - Other Than Classical,b'The Barbra Streisand Album',b'Barbra Streisand'
Most Promising New Classical Recording Artist,"b'Liszt: Concerto No. 1 For Piano & Orchestra (Bernstein, cond.; N.Y. Philharmonic)'","b'Andre Watts, piano'"
Best Comedy Performance,"b'Hello Mudduh, Hello Faddah'",b'Allan Sherman'
"Best Documentary, Spoken Word Or Drama Recording (Other Than Comedy)",b"Who's Afraid Of Virginia Woolf?","b'(Uta Hagen, Arthur Hill, George Grizzard & Melinda Dillon)'"
Best Engineered Recording - Other Than Classical,b'Charade',b'Henry Mancini'
Best Engineered Recording - Special Or Novel Effects,"b'The Civil War, Vol. II'",b'Frederick Fennell'
Best Album Notes,b'The Ellington Era',b'Duke Ellington'
Best Recording For Children,b'Bernstein Conducts For Young People',b'Leonard Bernstein'
Best Rock & Roll Recording,b'Deep Purple',b'April Stevens And Nino Tempo'
Best Country & Western Recording,b'Detroit City',b'Bobby Bare'
Best Rhythm & Blues Recording,b'Busted',b'Ray Charles'
Best Folk Recording,b"Blowin' In The Wind","b'Peter, Paul And Mary'"
Best Gospel Or Other Religious Recording (Musical),b'Dominique',b'Soeur Sourire'
Best New Artist Of 1963,b'Ward Swingle (The Swingle Singers)',b'Ward Swingle (The Swingle Singers)'
Record Of The Year,b'The Girl From Ipanema',b'Stan Getz & Astrud Gilberto'
Album Of The Year,b'Getz/Gilberto',b'Stan Getz & Jo\xc3\xa3o Gilberto'
Album Of The Year -- Classical,b'Bernstein: Symphony No. 3 "Kaddish"',"b'Leonard Bernstein, conductor'"
Song Of The Year,"b'Hello, Dolly!'","b'Jerry Herman, songwriter (Louis Armstrong)'"
Best Instrumental Composition (Other Than Jazz),b'The Pink Panther Theme',b'Henry Mancini'
"Best Vocal Performance, Female",b'People',b'Barbra Streisand'
"Best Vocal Performance, Male","b'Hello, Dolly!'",b'Louis Armstrong'
Best Instrumental Jazz Performance - Small Group Or Soloist With Small Group,b'Getz/Gilberto',b'Stan Getz'
Best Instrumental Jazz Performance - Large Group Or Soloist With Large Group,b'Guitar From Ipanema',b'Laurindo Almeida'
Best Original Jazz Composition,b'The Cat',b'Lalo Schifrin'
Best Instrumental Performance - Non-Jazz,b'The Pink Panther',b'Henry Mancini'
Best Instrumental Arrangement,b'The Pink Panther',b'Henry Mancini'
Best Accompaniment Arrangement For Vocalist(s) Or Instrumentalist(s),b'People',b'Barbra Streisand'
Best Performance By A Vocal Group,b"A Hard Day's Night",b'The Beatles'
Best Performance By A Chorus,b'The Swingle Singers Going Baroque',b'The Swingle Singers'
Best Original Score Written For A Motion Picture Or Television Show,b'Mary Poppins',b'Julie Andrews & Dick Van Dyke'
Best Score From An Original Cast Show Album,b'Funny Girl',"b'Barbra Streisand, Sydney Chaplin, Danny Meehan, Kay Medford, Jean Stapleton, John Lankston'"
Best Comedy Performance,b'I Started Out As A Child',b'Bill Cosby'
"Best Documentary, Spoken Word Or Drama Recording (Other Than Comedy)",b'BBC Tribute To John F. Kennedy',b'That Was The Week That Was (Cast)'
Best Engineered Recording - Non-Classical,b'Getz/Gilberto',b'Stan Getz & Joao Gilberto'
Best Engineered Recording - Special Or Novel Effects,b'The Chipmunks Sing The Beatles',b'The Chipmunks'
Best Album Cover- Other Than Classical,b'People',b'Barbra Streisand'
Best Album Cover - Classical,b'Saint-Saens: Carnival Of The Animals/Britten: Young Persons Guide To The Orchestra',"b'Arthur Fiedler, conductor'"
Best Recording For Children,b'Mary Poppins',"b'Julie Andrews, Dick Van Dyke'"
Best Rock & Roll Recording,b'Downtown',b'Petula Clark'
Best Rhythm & Blues Recording,b'How Glad I Am',b'Nancy Wilson'
Best Folk Recording,b"We'll Sing In The Sunshine",b'Gale Garnett'
Best Gospel Or Other Religious Recording (Musical),b'Great Gospel Songs',b'Tennessee Ernie Ford'
